,ClassificationCode,EFMaleCount,EFFemaleCount,EFTotalCount,sector_cd,STUDENTAID_MEN,STUDENTAID_WOMEN,STUDENTAID_TOTAL,STUAID_MEN_RATIO,STUAID_WOMEN_RATIO,RECRUITEXP_MEN,RECRUITEXP_WOMEN,RECRUITEXP_TOTAL,HDCOACH_SALARY_MEN,HDCOACH_SALARY_WOMEN,NUM_HDCOACH_MEN,NUM_HDCOACH_WOMEN,HDCOACH_SAL_FTE_MEN,HDCOACH_SAL_FTE_WOMN,FTE_HDCOACH_MEN,FTE_HDCOACH_WOMEN,ASCOACH_SALARY_MEN,ASCOACH_SALARY_WOMEN,NUM_ASCOACH_MEN,NUM_ASCOACH_WOMEN,ASCOACH_SAL_FTE_MEN,ASCOACH_SAL_FTE_WOMN,FTE_ASCOACH_MEN,FTE_ASCOACH_WOMEN,IL_PARTIC_MEN,IL_PARTIC_WOMEN,IL_SUM_PARTIC_MEN,IL_SUM_PARTIC_WOMEN,IL_OPEXPPERPART_MEN,IL_OPEXPPERTEAM_MEN,IL_OPEXPPERPART_WOMEN,IL_OPEXPPERTEAM_WOMEN,IL_TOTAL_OPEXP_MENWOMEN,IL_SUM_OPEXPPERPART_MEN,IL_SUM_OPEXPPERTEAM_MEN,IL_SUM_OPEXPPERPART_WOMEN,IL_SUM_OPEXPPERTEAM_WOMEN,IL_MEN_FTHEADCOACH_MALE,IL_MEN_PTHEADCOACH_MALE,IL_MEN_FTUNIVEMPLOY_MALE,IL_MEN_PTUNIVEMPLOY_MALE,IL_MEN_FTHEADCOACH_FEM,IL_MEN_PTHEADCOACH_FEM,IL_MEN_FTUNIVEMPLOY_FEM,IL_MEN_PTUNIVEMPLOY_FEM,IL_MEN_TOTAL_HEADCOACH,IL_WOMEN_FTHDCOACH_MALE,IL_WOMEN_PTHDCOACH_MALE,IL_WOMEN_FTUNIVEMP_MALE,IL_WOMEN_PTUNIVEMP_MALE,IL_WOMEN_FTHDCOACH_FEM,IL_WOMEN_PTHDCOACH_FEM,IL_WOMEN_FTUNIVEMP_FEM,IL_WOMEN_PTUNIVEMP_FEM,IL_WOMEN_TOTAL_HDCOACH,IL_SUM_FTHDCOACH_MALE,IL_SUM_PTHDCOACH_MALE,IL_SUM_FTUNIVEMP_MALE,IL_SUM_PTUNIVEMP_MALE,IL_SUM_FTHDCOACH_FEM,IL_SUM_PTHDCOACH_FEM,IL_SUM_FTUNIVEMP_FEM,IL_SUM_PTUNIVEMP_FEM,IL_SUM_TOTAL_HDCOACH,IL_MEN_FTASCOACH_MALE,IL_MEN_PTASCOACH_MALE,IL_MEN_FTACUNIVEMP_MALE,IL_MEN_PTACUNIVEMP_MALE,IL_MEN_FTASSTCOACH_FEM,IL_MEN_PTASSTCOACH_FEM,IL_MEN_FTACUNIVEMP_FEM,IL_MEN_PTACUNIVEMP_FEM,IL_MEN_TOTAL_ASSTCOACH,IL_WOMEN_FTASCOACH_MALE,IL_WOMEN_PTASCOACH_MALE,IL_WOMEN_FTACUNEMP_MALE,IL_WOMEN_PTACUNEMP_MALE,IL_WOMEN_FTASTCOACH_FEM,IL_WOMEN_PTASTCOACH_FEM,IL_WOMN_FTACUNIVEMP_FEM,IL_WOMN_PTACUNIVEMP_FEM,IL_WOMEN_TOTAL_ASTCOACH,IL_SUM_FTASCOACH_MALE,IL_SUM_PTASCOACH_MALE,IL_SUM_FTACUNIVEMP_MALE,IL_SUM_PTACUNIVEMP_MALE,IL_SUM_FTASCOACH_FEM,IL_SUM_PTASCOACH_FEM,IL_SUM_FTACUNIVEMP_FEM,IL_SUM_PTACUNIVEMP_FEM,IL_SUM_TOTAL_ASSTCOACH,IL_REV_MEN,IL_REV_WOMEN,IL_TOTAL_REV_MENWOMEN,IL_REVENUE_MENALL,IL_REVENUE_WOMENALL,IL_TOTAL_REVENUE_ALL,IL_EXP_MEN,IL_EXP_WOMEN,IL_TOTAL_EXP_MENWOMEN,IL_EXPENSE_MENALL,IL_EXPENSE_WOMENALL,IL_TOTAL_EXPENSE_ALL,UNDUP_CT_PARTIC_MEN,UNDUP_CT_PARTIC_WOMEN,TOT_REVENUE_ALL_NOTALLOC,TOT_EXPENSE_ALL_NOTALLOC,GRND_TOTAL_REVENUE,GRND_TOTAL_EXPENSE,cluster,PC1,PC2,university
13,9,741,1038,1779,2,2607358.0,1031828.0,3639186,72,28,48024.0,16317.0,64341,55005.0,42104.0,5.0,5.0,66271.0,58641.0,4.15,3.59,22422.0,9658.0,16.0,6.0,30636.0,30660.0,11.71,1.89,249.0,93.0,249,93,18228.0,735527.0,22054.0,342339.0,1077866.0,18228,735527,22054,342339,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,2.0,5.0,0,8,0,8,0,2,0,2,10,1.0,17.0,1.0,17.0,0.0,0.0,0.0,0.0,18.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,3.0,6.0,1,20,1,20,0,3,0,3,24,1931985.0,1102652.0,3034637.0,1931985,1102652,3034637,1931985.0,1102652.0,3034637.0,1931985,1102652,3034637,249,91,584376,584376,6479465,6479465,0,-2.643063493893601,-0.41357938615647644,Faulkner University
14,12,1145,1326,2471,4,81795.0,102841.0,184636,44,56,740.0,2952.0,3692,14310.0,14560.0,2.0,2.0,57240.0,58240.0,0.5,0.5,5200.0,4323.0,1.0,2.0,20800.0,17292.0,0.25,0.5,30.0,25.0,30,25,1639.0,27151.0,3624.0,45302.0,72453.0,1639,27151,3624,45302,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0,3,0,3,0,1,0,1,4,0.0,4.0,0.0,4.0,0.0,1.0,0.0,1.0,5.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,4.0,0,6,0,6,0,3,0,3,9,47253.0,104335.0,151588.0,47253,104335,151588,47253.0,104335.0,151588.0,47253,104335,151588,30,25,69810,69810,428191,428191,0,-6.788772226147973,-4.215667938410465,Gadsden State Community College
15,12,766,1196,1962,4,215125.0,144262.0,359387,60,40,367.0,0.0,367,57238.0,57238.0,1.0,1.0,57238.0,57238.0,1.0,1.0,14963.0,19926.0,2.0,1.0,39376.0,39852.0,0.76,0.5,24.0,21.0,24,21,2883.0,69181.0,1333.0,27986.0,97167.0,2883,69181,1333,27986,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2,0,2,0,0,0,0,0,2,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0,2,0,2,0,1,0,1,3,411117.0,270463.0,681580.0,411117,270463,681580,402246.0,256392.0,658638.0,402246,256392,658638,24,21,19160,19160,700740,677798,0,-6.0676036128345245,-6.25944787875236,George C Wallace Community College-Dothan
16,12,1123,1483,2606,4,355336.0,410038.0,765374,46,54,2000.0,2500.0,4500,17066.0,16116.0,4.0,5.0,56887.0,57557.0,1.2,1.4,8750.0,8000.0,4.0,5.0,32710.0,32000.0,1.07,1.25,72.0,60.0,72,60,8080.0,100899.0,12555.0,142603.0,243502.0,8080,100899,12555,142603,0.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,5.0,0,9,7,2,0,0,0,0,9,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0,5.0,0,6,1,5,0,3,1,2,9,395810.0,538126.0,933936.0,395810,538126,933936,395810.0,538126.0,933936.0,395810,538126,933936,72,60,118965,118965,1381303,1381303,0,-4.976621321296425,-2.941916534358757,George C Wallace State Community College-Hanceville
17,12,403,495,898,4,82403.0,49642.0,132045,62,38,1500.0,1500.0,3000,10000.0,10000.0,2.0,2.0,40000.0,40000.0,0.5,0.5,3000.0,3000.0,2.0,2.0,25000.0,25000.0,0.24,0.24,51.0,29.0,51,29,4279.0,101704.0,5136.0,75010.0,176714.0,4279,101704,5136,75010,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0,2,0,2,0,2,0,2,4,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0,2,0,2,0,2,0,2,4,118402.0,65858.0,184260.0,118402,65858,184260,118402.0,65858.0,184260.0,118402,65858,184260,51,29,14399,14399,378659,378659,0,-7.011558216363217,-4.661281348970866,George C Wallace State Community College-Selma
18,6,504,376,880,2,0.0,0.0,0,0,0,36732.0,33941.0,70673,63892.0,45365.0,8.0,8.0,68151.0,55834.0,7.5,6.5,18826.0,15349.0,19.0,7.0,26014.0,19535.0,13.75,5.5,324.0,135.0,324,135,19081.0,633559.0,20949.0,349486.0,983045.0,19081,633559,20949,349486,7.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,1.0,3.0,0.0,3.0,2.0,5.0,0.0,8.0,9,2,11,0,3,2,5,0,16,9.0,9.0,9.0,9.0,0.0,1.0,1.0,0.0,19.0,1.0,0.0,1.0,0.0,3.0,3.0,6.0,0.0,7.0,10,9,10,9,3,4,7,0,26,1070342.0,792131.0,1862473.0,1070342,792131,1862473,1070342.0,792131.0,1862473.0,1070342,792131,1862473,320,117,547322,547322,3599388,3599388,2,1.1888538303609548,-0.11654571826180352,Huntingdon College
19,2,2360,3032,5392,1,2582936.0,1745624.0,4393190,59,40,174474.0,71894.0,246368,120057.0,42463.0,6.0,10.0,169492.0,73849.0,4.25,5.75,46859.0,25867.0,18.0,13.0,52487.0,39238.0,16.07,8.57,222.0,192.0,233,195,38823.0,1108274.0,34620.0,577678.0,1685952.0,40847,1130542,36644,583751,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,7.0,9.0,0.0,1.0,0.0,1.0,0.0,10.0,6,10,16,0,1,0,1,0,17,15.0,3.0,17.0,1.0,0.0,0.0,0.0,0.0,18.0,3.0,5.0,7.0,1.0,3.0,2.0,5.0,0.0,13.0,18,8,24,2,3,2,5,0,31,1320084.0,2814081.0,4134165.0,1454664,2850785,4305449,1320084.0,2814081.0,4134165.0,1454664,2850785,4305449,233,136,2928520,2928520,13579563,13579563,2,4.203985288425362,-1.813248549399617,Jacksonville State University
21,12,1163,1621,2784,4,29156.0,20128.0,49284,59,41,0.0,0.0,0,15047.0,13395.0,1.0,1.0,25078.0,25274.0,0.6,0.53,9200.0,9000.0,1.0,1.0,18400.0,18000.0,0.5,0.5,8.0,4.0,8,4,2405.0,19236.0,3051.0,12202.0,31438.0,2405,19236,3051,12202,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0,0,0,0,0,2,2,0,2,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,2,0,2,0,0,0,0,2,77508.0,59274.0,136782.0,77508,59274,136782,77508.0,59274.0,136782.0,77508,59274,136782,8,4,3724,3724,140506,140506,0,-7.0644521193866865,-5.69456571685784,Jefferson State Community College
22,12,1750,1720,3470,4,214509.0,186593.0,401102,53,47,600.0,600.0,1200,22604.0,22234.0,2.0,2.0,45665.0,52938.0,0.99,0.84,5500.0,6333.0,2.0,3.0,40741.0,41302.0,0.27,0.46,42.0,32.0,42,32,4298.0,82404.0,5741.0,87095.0,169499.0,4298,82404,5741,87095,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0,3,1,2,0,1,1,0,4,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,0,4,0,4,0,1,0,1,5,372769.0,357333.0,730102.0,372769,357333,730102,372769.0,357333.0,730102.0,372769,357333,730102,42,32,1200,1200,731302,731302,0,-6.108522526490827,-4.908027060109816,John C Calhoun State Community College
24,12,798,892,1690,4,266910.0,243931.0,510841,52,48,5500.0,4500.0,10000,29168.0,21543.0,2.0,2.0,58336.0,43086.0,1.0,1.0,11146.0,10598.0,3.0,3.0,22292.0,21196.0,1.5,1.5,48.0,31.0,48,31,5892.0,94764.0,3672.0,56841.0,151605.0,5892,94764,3672,56841,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0,4,3,1,0,0,0,0,4,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,0,3,0,3,0,3,3,0,6,315689.0,191957.0,507646.0,315689,191957,507646,315689.0,191957.0,507646.0,315689,191957,507646,48,31,86211,86211,1119547,1119547,0,-5.919482815954959,-4.8389032176113265,Lawson State Community College-Birmingham Campus
25,4,781,941,1722,1,1493665.0,1012226.0,2650066,56,38,55705.0,41530.0,98289,57432.0,36771.0,7.0,8.0,73095.0,49028.0,5.5,6.0,30481.0,18201.0,19.0,12.0,52649.0,31202.0,11.0,7.0,282.0,133.0,296,148,19831.0,596793.0,30365.0,431265.0,1028058.0,22020,627432,32554,464093,4.0,2.0,6.0,0.0,0.0,1.0,1.0,0.0,7.0,2.0,2.0,4.0,0.0,2.0,2.0,4.0,0.0,8.0,7,4,11,0,2,3,5,0,16,9.0,7.0,9.0,7.0,0.0,3.0,3.0,0.0,19.0,2.0,1.0,2.0,1.0,2.0,7.0,4.0,5.0,12.0,11,9,11,9,2,10,7,5,32,1559549.0,1829881.0,3389430.0,1720158,2001963,3722121,1559549.0,1829881.0,3389430.0,1720158,2001963,3722121,281,134,859893,859893,7564099,7564099,2,2.4665380034426683,0.4124852210790084,University of West Alabama
