,classificationcode,exp,opexpperpart,opexpperteam,partic,rev,PC1,PC2,university,gender
1801,4,70678.0,1444.0,12997.0,9.0,70678.0,1.0897550898280406,0.14930720521230467,Bemidji State University,women
1898,7,37089.0,736.0,11769.0,16.0,37089.0,0.28578198581355535,-0.7342878033562854,Berea College,men
1899,7,38308.0,649.0,12988.0,20.0,38308.0,0.49977401976158625,-1.1351578381127772,Berea College,women
1912,14,25668.0,1467.0,16139.0,11.0,25668.0,0.03447813371040773,1.0028090879968032,Bergen Community College,men
1913,14,19800.0,1467.0,10271.0,7.0,19800.0,-0.5270968091728295,1.2567848179572585,Bergen Community College,women
1924,8,19874.0,1969.0,15749.0,8.0,19874.0,0.3478814270645219,1.1160326434228345,Berkeley College-New York,men
1925,8,19875.0,1969.0,15750.0,8.0,19875.0,0.34794783030841137,1.1160496640215678,Berkeley College-New York,women
1952,6,52635.0,1162.0,20908.0,18.0,55758.0,1.3575573525534712,-0.5250220710440378,Berry College,men
1953,6,54763.0,1436.0,21540.0,15.0,57886.0,1.4179734792240426,-0.03714899115413328,Berry College,women
1978,6,21862.0,404.0,4443.0,11.0,21862.0,-0.6400704976255449,-0.7567525562682579,Bethany College,men
1979,6,17133.0,404.0,2423.0,6.0,17133.0,-1.0343012002855914,-0.34574742624236904,Bethany College,women
2000,10,61861.0,331.0,3977.0,12.0,61861.0,-0.20828622367815347,-0.5941008274483454,Bethany College,men
2001,10,98270.0,331.0,3645.0,11.0,98270.0,0.3396516365708269,-0.5529389661935774,Bethany College,women
2022,7,14908.0,441.0,3970.0,9.0,15709.0,-0.8980360258264427,-0.4621550164612333,Bethany Lutheran College,men
2023,7,19544.0,434.0,7374.0,17.0,20207.0,-0.31188226529158775,-1.1186178505719817,Bethany Lutheran College,women
2062,10,27911.0,439.0,3510.0,8.0,28147.0,-0.9196017003674026,-0.12637912431418816,Bethel College-North Newton,men
2063,10,30604.0,439.0,2194.0,5.0,30742.0,-1.0698622002606648,0.11217537444378378,Bethel College-North Newton,women
2086,6,34111.0,352.0,5627.0,16.0,34111.0,-0.18518178860232534,-1.231963004395355,Bethel University,men
2087,6,33681.0,321.0,5784.0,18.0,33681.0,-0.1124410035454866,-1.4296979775235117,Bethel University,women
2108,9,101940.0,1332.0,14652.0,11.0,101940.0,1.4511047992586823,0.33197251858820775,Bethel University,men
2109,9,91050.0,1660.0,11618.0,7.0,91050.0,1.0932123566543082,0.8985742491784638,Bethel University,women
2136,2,12263.0,1523.0,12185.0,8.0,12263.0,0.17850565907290913,0.1698943135327742,Bethune-Cookman University,men
2137,2,11643.0,1049.0,11543.0,11.0,11643.0,0.05338482299580007,-0.47565266592479244,Bethune-Cookman University,women
2166,5,66871.0,1886.0,30173.0,16.0,67016.0,2.324117331332596,0.28076164345054117,Biola University,men
2167,5,109762.0,1834.0,42171.0,23.0,110855.0,3.921751831936769,-0.2108447870513697,Biola University,women
2246,7,11130.0,202.0,1612.0,8.0,11130.0,-1.2347552149672745,-0.5974875228059523,Blackburn College,men
2247,7,11130.0,179.0,1612.0,9.0,11130.0,-1.2020521328155538,-0.7038657017935829,Blackburn College,women
2274,5,79365.0,1082.0,16225.0,15.0,79365.0,1.4356262884542583,-0.5242398001552817,Bloomfield College,men
2275,5,49111.0,1082.0,15143.0,14.0,49111.0,0.8341103597067749,-0.4211228805222433,Bloomfield College,women
2310,9,101845.0,1295.0,11655.0,9.0,101845.0,1.1980163626360287,0.42577848335521096,Blue Mountain College,men
2311,9,89795.0,1295.0,7770.0,6.0,89795.0,0.6748794650496985,0.6342989433790904,Blue Mountain College,women
2338,10,14500.0,777.0,5439.0,7.0,14500.0,-0.9413517548835438,0.2758416919940701,Bluefield College,men
2339,10,14500.0,680.0,5439.0,8.0,14500.0,-0.9417141081211049,0.11182385720055615,Bluefield College,women
2352,5,24529.0,625.0,4373.0,7.0,26364.0,-0.6012489591871486,-0.327537044385187,Bluefield State College,men
2353,5,34113.0,625.0,4373.0,7.0,35948.0,-0.4413554845059144,-0.338401689344326,Bluefield State College,women
2380,16,27079.0,1302.0,14318.0,11.0,27079.0,-0.21761158288981727,1.020519495226339,Bob Jones University,men
2381,16,21915.0,1308.0,9154.0,7.0,21915.0,-0.7297576608270493,1.2911512123008637,Bob Jones University,women
2414,12,671.0,168.0,671.0,4.0,671.0,-1.921553714376579,0.1768795426841426,Bossier Parish Community College,men
2415,12,671.0,168.0,671.0,4.0,671.0,-1.921553714376579,0.1768795426841426,Bossier Parish Community College,women
2542,1,21278.0,1338.0,14719.0,11.0,21278.0,0.5568549287114216,-0.2942559143575505,Bowling Green State University-Main Campus,men
2543,1,0.0,0.0,0.0,0.0,0.0,-1.600601445203164,-0.606439303361626,Bowling Green State University-Main Campus,women
2598,9,0.0,0.0,0.0,0.0,0.0,-2.0460538295672515,0.11711926438969135,Brenau University,men
2599,9,129809.0,1005.0,10053.0,10.0,129809.0,1.498298474581566,0.05064649155511111,Brenau University,women
2724,6,22909.0,432.0,12521.0,29.0,23100.0,0.5667807481103577,-2.182028916134267,Bridgewater State University,men
2725,6,14705.0,432.0,4320.0,10.0,23100.0,-0.7260749349287008,-0.6499238539246193,Bridgewater State University,women
2768,14,3200.0,250.0,500.0,2.0,3200.0,-2.0485469270438004,0.5925951511498906,Brookdale Community College,men
2769,14,3800.0,220.0,1100.0,5.0,3800.0,-1.8931693561443552,0.3140506298651665,Brookdale Community College,women
2902,7,7730.0,323.0,2583.0,8.0,7730.0,-1.1891342460712637,-0.48175682794756985,Bryn Athyn College of the New Church,men
2903,7,7376.0,159.0,2229.0,14.0,7376.0,-1.0280400869048751,-1.1463029647837373,Bryn Athyn College of the New Church,women
3040,17,7836.0,178.0,1962.0,11.0,7836.0,-1.7109071760482935,0.03296542454182219,Butte College,men
3041,17,4274.0,178.0,1070.0,6.0,4274.0,-2.0295843679406294,0.4631255786331277,Butte College,women
3056,7,27717.0,2241.0,20169.0,9.0,27717.0,0.9186905023281894,1.2203400065342853,CUNY Bernard M Baruch College,men
3057,7,28116.0,1491.0,20868.0,14.0,28116.0,0.8398795857371537,0.20607603712134598,CUNY Bernard M Baruch College,women
3086,7,9699.0,713.0,7839.0,11.0,9699.0,-0.5917527408799972,-0.35018322958811005,CUNY Brooklyn College,men
3087,7,7012.0,780.0,6243.0,8.0,7012.0,-0.8149367881120015,-0.058534613803587765,CUNY Brooklyn College,women
3102,7,18524.0,294.0,3524.0,12.0,18387.0,-0.8044469276003628,-0.8531989838070351,CUNY City College,men
3103,7,18510.0,390.0,3510.0,9.0,18296.0,-0.8920632963907063,-0.5131865252415986,CUNY City College,women
3142,7,21631.0,418.0,2510.0,6.0,21631.0,-1.0043596720807224,-0.24791742546861298,CUNY John Jay College of Criminal Justice,men
3143,7,21631.0,418.0,2510.0,6.0,21631.0,-1.0043596720807224,-0.24791742546861298,CUNY John Jay College of Criminal Justice,women
3160,14,21763.0,495.0,9900.0,20.0,21650.0,-0.38931207341546287,-0.6591758193788286,CUNY Kingsborough Community College,men
3161,14,19384.0,401.0,6009.0,15.0,18360.0,-0.8869590942047121,-0.3570073365063071,CUNY Kingsborough Community College,women
3208,5,3334.0,84.0,839.0,10.0,3334.0,-1.2586547860592374,-1.0524108369226783,CUNY Queens College,men
3209,5,5671.0,89.0,532.0,6.0,5671.0,-1.4046162927380614,-0.7028862858673774,CUNY Queens College,women
3226,14,7677.0,454.0,4542.0,10.0,7677.0,-1.3378929688197994,0.11209258907403918,CUNY Queensborough Community College,men
3227,14,7796.0,737.0,4423.0,6.0,7796.0,-1.38729207026297,0.684082676569076,CUNY Queensborough Community College,women
3244,7,8356.0,190.0,2087.0,11.0,10066.0,-1.1195843780752892,-0.862355336328384,CUNY York College,men
3245,7,8356.0,174.0,2087.0,12.0,10066.0,-1.0837534844678254,-0.9632811154424852,CUNY York College,women
3288,7,16189.0,824.0,8235.0,10.0,16189.0,-0.45717058738072325,-0.17542873786372612,Cabrini University,men
3289,7,12720.0,809.0,6471.0,8.0,12720.0,-0.695413872510444,-0.038277658786917454,Cabrini University,women
3304,7,10710.0,588.0,7641.0,13.0,14521.0,-0.5228542914400911,-0.6334473639141948,Cairn University-Langhorne,men
3305,7,9908.0,657.0,5909.0,9.0,13007.0,-0.7693740155432699,-0.25559279638505666,Cairn University-Langhorne,women
3326,5,102403.0,338.0,3714.0,11.0,103535.0,0.7030069056656781,-1.004400619644715,Caldwell University,men
3327,5,84527.0,298.0,3574.0,12.0,85659.0,0.4229210650721337,-1.1062972835405467,Caldwell University,women
3344,5,108440.0,1758.0,31637.0,18.0,110606.0,3.1360321533360094,-0.01865623447113066,California Baptist University,men
3345,5,101905.0,1559.0,32745.0,21.0,104086.0,3.1222422689379417,-0.4115431812136027,California Baptist University,women
3368,7,55226.0,1701.0,30609.0,18.0,55331.0,2.0431174999880097,0.16178655584808077,California Institute of Technology,men
3369,7,57927.0,2374.0,30859.0,13.0,58032.0,2.1864251105904198,1.1297882512996138,California Institute of Technology,women
3392,6,51207.0,1000.0,14001.0,14.0,51207.0,0.7199770012694346,-0.4176572252463902,California Lutheran University,men
3393,6,29261.0,1000.0,8001.0,8.0,29261.0,-0.2023566358709374,0.029074843241940974,California Lutheran University,women
3444,10,19150.0,765.0,9945.0,13.0,19150.0,-0.3872172326732109,-0.1877526080602522,California State University Maritime Academy,men
3445,10,12925.0,505.0,3030.0,6.0,12925.0,-1.2519212274088538,0.1104920979103829,California State University Maritime Academy,women
3484,5,125185.0,1100.0,28595.0,26.0,149116.0,3.495413427790485,-1.3372693213960385,California State University-Chico,men
3485,5,131096.0,1072.0,28945.0,27.0,129335.0,3.4277243836743096,-1.4193525501072182,California State University-Chico,women
3516,5,79886.0,1423.0,24196.0,17.0,79886.0,2.078964849784643,-0.2914396510451225,California State University-East Bay,men
3517,5,74196.0,1447.0,18805.0,13.0,74196.0,1.554799849831992,-0.010312199722029462,California State University-East Bay,women
3562,3,63945.0,1718.0,29206.0,17.0,73245.0,2.3828169807989923,-0.14385545792010482,California State University-Fullerton,men
3563,3,62017.0,2426.0,29114.0,12.0,75513.0,2.482511081825962,0.8457864909109136,California State University-Fullerton,women
3600,5,103926.0,1153.0,5767.0,5.0,103926.0,0.9273394801196198,0.1979948480037639,California State University-Los Angeles,men
3601,5,112478.0,772.0,9265.0,12.0,112478.0,1.3745547383832433,-0.6642048211869215,California State University-Los Angeles,women
3616,5,71790.0,3148.0,31481.0,10.0,71791.0,2.7760346831718534,1.8128597263054416,California State University-Monterey Bay,men
3617,5,0.0,0.0,0.0,0.0,0.0,-1.8233276373852076,-0.24466001948596736,California State University-Monterey Bay,women
3678,5,0.0,0.0,0.0,0.0,0.0,-1.8233276373852076,-0.24466001948596736,California State University-San Bernardino,men
3679,5,130374.0,850.0,15300.0,18.0,139508.0,2.3420571147239864,-1.0551002406005032,California State University-San Bernardino,women
3790,14,6624.0,323.0,2263.0,7.0,6624.0,-1.6562474308313266,0.2352645059244006,Camden County College,men
3791,14,5978.0,323.0,1617.0,5.0,5978.0,-1.7851042802537123,0.4011955008062361,Camden County College,women
3804,5,76259.0,1411.0,14110.0,10.0,84900.0,1.2827901363870629,0.12986594732809276,Cameron University,men
3805,5,0.0,0.0,0.0,0.0,0.0,-1.8233276373852076,-0.24466001948596736,Cameron University,women
3858,9,80658.0,661.0,8591.0,13.0,80658.0,0.5808343577084124,-0.4535122265272684,Campbellsville University,men
3859,9,90885.0,806.0,8862.0,11.0,90886.0,0.7437676898722875,-0.17031823730709475,Campbellsville University,women
3970,13,23144.0,544.0,3810.0,7.0,22136.0,-1.1576933579226705,0.32743646068000415,Carl Sandburg College,men
3971,13,19396.0,335.0,2345.0,7.0,18713.0,-1.3837404842012941,0.1419352822904447,Carl Sandburg College,women
4004,10,56667.0,1335.0,10677.0,8.0,56677.0,0.3149636210806178,0.6692919195992472,Carlow University,men
4005,10,75045.0,920.0,11045.0,12.0,75045.0,0.6262704236632785,-0.02195197158324575,Carlow University,women
4080,4,116298.0,538.0,5918.0,11.0,119947.0,1.2104349758296524,-0.9175980365216226,Carson-Newman University,men
4081,4,116299.0,455.0,5919.0,13.0,119948.0,1.2593748256823427,-1.1591572018010923,Carson-Newman University,women
4128,6,40567.0,789.0,23659.0,30.0,48827.0,1.6849195866205866,-1.8191977963797066,Case Western Reserve University,men
4129,6,34118.0,783.0,16441.0,21.0,34549.0,0.7636832826582951,-1.1427336048420496,Case Western Reserve University,women
4168,6,24645.0,873.0,8732.0,10.0,24735.0,-0.2130586940948087,-0.22836999337425212,Castleton University,men
4169,6,20196.0,937.0,8431.0,9.0,20666.0,-0.313463976042872,-0.09089933074311247,Castleton University,women
4192,4,105017.0,1876.0,15010.0,8.0,105017.0,1.9127821022139613,0.5718782806449051,Catawba College,men
4193,4,136003.0,1498.0,11982.0,8.0,136003.0,2.110279609166412,0.18735125423881896,Catawba College,women
4252,7,5687.0,439.0,3512.0,8.0,5687.0,-1.1251963215662077,-0.37222150846172153,Cazenovia College,men
4253,7,7883.0,439.0,5708.0,13.0,7883.0,-0.7644739133104304,-0.7771600278023095,Cazenovia College,women
4280,7,0.0,0.0,0.0,0.0,0.0,-1.9346907334762298,-0.06377037754813794,Cedar Crest College,men
4281,7,15626.0,652.0,4564.0,7.0,15968.0,-0.8520292867475681,-0.11039832153960302,Cedar Crest College,women
4308,5,109481.0,694.0,20113.0,29.0,109481.0,2.5597260403527,-2.02849922963728,Cedarville University,men
4309,5,76679.0,768.0,21511.0,28.0,76679.0,2.0720715777861334,-1.819831711780023,Cedarville University,women
4344,7,5711.0,190.0,1517.0,8.0,5711.0,-1.3352477789548443,-0.6024160408637278,Centenary University,men
4345,7,5711.0,190.0,1517.0,8.0,5711.0,-1.3352477789548443,-0.6024160408637278,Centenary University,women
4408,10,33150.0,246.0,1231.0,5.0,33150.0,-1.1626551930140248,-0.058370521539682654,Central Christian College of Kansas,men
4409,10,21005.0,347.0,1736.0,5.0,21005.0,-1.2950364090539566,0.04323555561057618,Central Christian College of Kansas,women
4418,16,1048.0,110.0,438.0,4.0,1048.0,-2.175491155144211,0.48882448936604306,Central Christian College of the Bible,men
4419,16,1018.0,106.0,106.0,1.0,1018.0,-2.3232265042284617,0.7451050917982416,Central Christian College of the Bible,women
4440,6,26842.0,371.0,8160.0,22.0,26842.0,0.08585801310170028,-1.693717586887778,Central College,men
4441,6,25441.0,473.0,8047.0,17.0,25441.0,-0.11245794508661965,-1.172415798376023,Central College,women
4478,12,15430.0,880.0,4400.0,5.0,15430.0,-1.1287950966667877,0.6939692989552146,Central Georgia Technical College,men
4479,12,16458.0,748.0,4486.0,6.0,16458.0,-1.1233700881052957,0.503085363210036,Central Georgia Technical College,women
4500,20,0.0,0.0,0.0,0.0,0.0,-2.6585508580678714,1.1120122950477527,Central Maine Community College,men
4501,20,9109.0,573.0,2290.0,4.0,10109.0,-1.9564328056588502,1.2346138502838957,Central Maine Community College,women
4548,20,8500.0,144.0,287.0,2.0,3800.0,-2.391349110420713,1.048044454632124,Central Penn College,men
4549,20,8500.0,134.0,401.0,3.0,5140.0,-2.335998573240184,0.9523733894894707,Central Penn College,women
4582,12,19183.0,1231.0,6154.0,5.0,19183.0,-0.8221363354537489,0.9949562242567336,Central Wyoming College,men
4583,12,32357.0,1231.0,8615.0,7.0,32357.0,-0.3940285922929874,0.8477731104989756,Central Wyoming College,women
4644,17,83674.0,513.0,9242.0,18.0,86266.0,0.38844428631032174,-0.28202829698472376,Cerritos College,men
4645,17,83674.0,513.0,9242.0,18.0,86266.0,0.38844428631032174,-0.28202829698472376,Cerritos College,women
4710,17,22244.0,1101.0,12106.0,11.0,25235.0,-0.5288166995271814,0.9164043406700322,Chaffey College,men
4711,17,22244.0,1009.0,12106.0,12.0,25235.0,-0.5269449017249261,0.7562810772147535,Chaffey College,women
4726,5,40487.0,772.0,6179.0,8.0,40487.0,-0.15185439678882404,-0.2847654774423967,Chaminade University of Honolulu,men
4727,5,51325.0,724.0,6517.0,9.0,51325.0,0.06729767360942628,-0.4167665945798181,Chaminade University of Honolulu,women
4764,6,30700.0,571.0,5705.0,10.0,30700.0,-0.3982358801795962,-0.5253190566675946,Chapman University,men
4765,6,31849.0,557.0,6126.0,11.0,31849.0,-0.32141006281928985,-0.618346612885293,Chapman University,women
4886,12,0.0,0.0,0.0,0.0,0.0,-2.213098473703784,0.38845372729643535,Chipola College,men
4887,12,23515.0,857.0,4284.0,5.0,23515.0,-1.0099546019376215,0.664783037303092,Chipola College,women
4908,4,47939.0,616.0,6773.0,11.0,47939.0,0.11692028845143308,-0.7597745290680775,Chowan University,men
4909,4,55165.0,429.0,3859.0,9.0,55165.0,-0.07692693531666456,-0.7895981596337297,Chowan University,women
4952,6,74029.0,609.0,24985.0,41.0,74029.0,2.6326022020529125,-2.9371833515693067,Christopher Newport University,men
4953,6,43334.0,609.0,14625.0,24.0,43334.0,0.874745138419996,-1.586590962087463,Christopher Newport University,women
4968,10,52376.0,649.0,3246.0,5.0,52376.0,-0.5616425000526253,0.2703176454965985,Cincinnati Christian University,men
4969,10,52376.0,812.0,3246.0,4.0,52376.0,-0.5317893530894884,0.4857438219548193,Cincinnati Christian University,women
5026,17,5934.0,277.0,3047.0,11.0,5685.0,-1.6465324400782033,0.13220798630404854,Citrus College,men
5027,17,5344.0,307.0,2457.0,8.0,5985.0,-1.7938267011776516,0.4099341806550466,Citrus College,women
5048,17,17820.0,641.0,5769.0,9.0,17820.0,-1.2341347811734726,0.6283240608613164,City College of San Francisco,men
5049,17,16313.0,710.0,4262.0,6.0,16313.0,-1.4323137161701496,0.9218085555332453,City College of San Francisco,women
5066,12,27963.0,2371.0,11855.0,5.0,29963.0,0.1338556428482682,1.9742410745575985,City Colleges of Chicago-Malcolm X College,men
5067,12,27879.0,2071.0,12428.0,6.0,29879.0,0.06987483817274724,1.662601236962683,City Colleges of Chicago-Malcolm X College,women
5090,19,36593.0,729.0,5834.0,8.0,39440.0,-1.0089948373111584,0.9429576302290745,Clackamas Community College,men
5091,19,36326.0,834.0,5836.0,7.0,39174.0,-1.0094045277740757,1.1135446542967882,Clackamas Community College,women
5106,5,49375.0,797.0,10361.0,13.0,49375.0,0.4304275760433498,-0.6417630618901145,Claflin University,men
5107,5,49375.0,1036.0,10361.0,10.0,49375.0,0.4082794649419431,-0.19021309942722026,Claflin University,women
5130,6,91491.0,711.0,19205.0,27.0,91491.0,2.080400679298164,-1.7439767162273363,Claremont McKenna College,men
5131,6,92461.0,640.0,21123.0,33.0,92461.0,2.4181023775634345,-2.2963383510360442,Claremont McKenna College,women
5192,19,18195.0,484.0,5813.0,12.0,18545.0,-1.2753480556098857,0.4215196384395691,Clark College,men
5193,19,19794.0,670.0,5361.0,8.0,20141.0,-1.359980015723575,0.9102352558267296,Clark College,women
5220,7,11539.0,457.0,5481.0,12.0,12569.0,-0.7411167795238464,-0.684085987517849,Clark University,men
5221,7,15147.0,454.0,7265.0,16.0,15148.0,-0.430220716089236,-1.0108353924940214,Clark University,women
5254,7,2174.0,444.0,1775.0,4.0,2174.0,-1.4398549885107101,-0.042025798953920286,Clarks Summit University,men
5255,7,2174.0,355.0,1775.0,5.0,2174.0,-1.4366427000845652,-0.19981231960625775,Clarks Summit University,women
5278,7,33241.0,537.0,12899.0,24.0,34207.0,0.5407428438740791,-1.5731934432728953,Clarkson University,men
5279,7,23581.0,538.0,9150.0,17.0,24267.0,-0.10956691545853524,-1.0099708518476957,Clarkson University,women
5302,10,82433.0,2705.0,21642.0,8.0,82433.0,1.90207985935378,1.9062676811889339,Cleary University,men
5303,10,90953.0,3427.0,23987.0,7.0,90953.0,2.4404465457076663,2.5900201138957475,Cleary University,women
5446,6,36152.0,577.0,8652.0,15.0,36152.0,0.05682820212903549,-0.9156413469246286,Coe College,men
5447,6,33844.0,577.0,6344.0,11.0,33844.0,-0.2683511925074926,-0.6010722854739092,Coe College,women
5488,5,101614.0,741.0,6668.0,9.0,101614.0,0.9213917781373676,-0.457792542723075,Coker College,men
5489,5,75534.0,865.0,6917.0,8.0,75534.0,0.5110963504944909,-0.23865872780787836,Coker College,women
5526,6,64283.0,661.0,20480.0,31.0,64283.0,1.8394514166736076,-2.0827847793211127,Colby College,men
5527,6,65238.0,775.0,20937.0,27.0,65238.0,1.7571239563005197,-1.6329220802258022,Colby College,women
5568,7,18501.0,343.0,5140.0,15.0,18501.0,-0.5725060590520683,-1.0512105086010917,Colby-Sawyer College,men
5569,7,18843.0,343.0,5482.0,16.0,18843.0,-0.5068159727069748,-1.1338526146660781,Colby-Sawyer College,women
5628,3,91469.0,1594.0,15942.0,10.0,91469.0,1.7487304256725644,0.11713139680917253,College of Charleston,men
